smiles,value,cano_smiles
CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3CCCC3C4=NC(=NO4)C5=C(C=CC=C5F)C,-1.6020599913279625,Cc1ccc(-n2nccn2)c(C(=O)N2CCCC2c2nc(-c3c(C)cccc3F)no2)c1
COC1=C(C=CC=C1F)C2=NOC(=N2)C3CCCN3C(=O)C4=C(C=CC(=C4)Cl)N5N=CC=N5,-0.9542425094393248,COc1c(F)cccc1-c1noc(C2CCCN2C(=O)c2cc(Cl)ccc2-n2nccn2)n1
CC1=CC=CC(=C1)C2=C(N=CO2)C(=O)NC3=CN(N=C3)CCN4C=CC5=C4C=CC(=C5)Cl,-2.705007959333336,Cc1cccc(-c2ocnc2C(=O)Nc2cnn(CCn3ccc4cc(Cl)ccc43)c2)c1
CC1CC(N(C1=O)CC2=CC3=C(C=C2)OC4=CC=CC=C43)C5=C(C=CC=C5F)OC,-0.7781512503836436,COc1cccc(F)c1C1CC(C)C(=O)N1Cc1ccc2oc3ccccc3c2c1
CC1CN(C(CO1)CC2=CC(=CC=C2)N3N=CC=N3)C(=O)C4=C(C=CC(=C4)Cl)N5N=CC=N5,-1.9822712330395684,CC1CN(C(=O)c2cc(Cl)ccc2-n2nccn2)C(Cc2cccc(-n3nccn3)c2)CO1
CCC1=NC(=C2N1CCN(C2CCC3=CC=C(C=C3)C(F)(F)F)C(C4=CC=CC=C4)C(=O)NC)OCC,-3.4387005329007363,CCOc1nc(CC)n2c1C(CCc1ccc(C(F)(F)F)cc1)N(C(C(=O)NC)c1ccccc1)CC2
CC1=CC(=C(C=C1)C(=O)N2CCCC2C3=CN=C(N3)C4=C(C(=CC=C4)Cl)C)N5N=CC=N5,-2.5646660642520893,Cc1ccc(C(=O)N2CCCC2c2cnc(-c3cccc(Cl)c3C)[nH]2)c(-n2nccn2)c1
CC1CCC(CN1C(=O)C2=C(C(=CC=C2)F)N3N=CC=N3)OC4=NC=CC(=C4C)C#N,-1.0791812460476249,Cc1c(C#N)ccnc1OC1CCC(C)N(C(=O)c2cccc(F)c2-n2nccn2)C1
CC1=C(C=C(C(=C1)C(=O)N2CCCC2C3=NC(=NN3)C4=C(C(=CC=C4)Cl)OC)N5N=CC=N5)C,-0.4771212547196624,COc1c(Cl)cccc1-c1n[nH]c(C2CCCN2C(=O)c2cc(C)c(C)cc2-n2nccn2)n1
CC1=CC=CC(=C1)C2=C(N=CO2)C(=O)NC3=CN(N=C3)CCNC4=NC=C(C=N4)C,-3.416640507338281,Cc1cnc(NCCn2cc(NC(=O)c3ncoc3-c3cccc(C)c3)cn2)nc1
COC1=C(C=C(C=C1)CC2COCCN2C(=O)C3=CC=CC=C3N4N=CC=N4)C5=CC=CS5,-1.4913616938342726,COc1ccc(CC2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1cccs1
COC1=C(C(=CC=C1)OC)C2CCC(=O)N2CC3=CC4=C(C=C3)OC5=CC=CC=C54,-1.3010299956639813,COc1cccc(OC)c1C1CCC(=O)N1Cc1ccc2oc3ccccc3c2c1
CC1=NC(=CS1)C2=CC(=CC=C2)CN3C(CCC3=O)C4=CC=CC=C4C5=CC=CC=C5,-2.6646419755561257,Cc1nc(-c2cccc(CN3C(=O)CCC3c3ccccc3-c3ccccc3)c2)cs1
CC1=C(C=CC=C1F)C2=NOC(=N2)C3CCCN3C(=O)C4=C(C=CC(=C4)C#N)N5N=CC=N5,-2.4727564493172123,Cc1c(F)cccc1-c1noc(C2CCCN2C(=O)c2cc(C#N)ccc2-n2nccn2)n1
CC1CC(N(C(=O)C1)CC2=CC=C(C=C2)OC(F)(F)F)C3=C(C=CC=C3OC)OC,-2.4727564493172123,COc1cccc(OC)c1C1CC(C)CC(=O)N1Cc1ccc(OC(F)(F)F)cc1
CC1=NC(=C(S1)C(=O)N2CCCCC2CNC3=NC=C(C=C3)C(F)(F)F)C4=CC=CC=C4,-0.9030899869919436,Cc1nc(-c2ccccc2)c(C(=O)N2CCCCC2CNc2ccc(C(F)(F)F)cn2)s1
CC1=C(C(=CC=C1)OC)C2CC(C(=O)N2CC3=CC=C(C=C3)OC(F)(F)F)Cl,-2.100370545117563,COc1cccc(C)c1C1CC(Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1
COC1=C(C(=CC=C1)OC)C2CCCC(=O)N2CC3=CC=CC(=N3)C4=CC=C(C=C4)F,-2.1522883443830563,COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(-c2ccc(F)cc2)n1
C1=CC=C2C(=C1)C=CC=C2C3=NN=C(O3)SCC#CCOC(=O)C4=C5C=CNC5=CC=C4,-3.1430148002540954,O=C(OCC#CCSc1nnc(-c2cccc3ccccc23)o1)c1cccc2[nH]ccc12
C1CC(C(C1)NC(=O)C2=CC=CC=C2N3N=CC=N3)NC4=NC5=C(S4)C=CC(=C5)F,-3.934498451243568,O=C(NC1CCCC1Nc1nc2cc(F)ccc2s1)c1ccccc1-n1nccn1
CC1=NC(=CS1)C2=CC(=CC=C2)CN3C(CCCC3=O)C4=C(C=CC5=C4OC=N5)OC,-2.008600171761917,COc1ccc2ncoc2c1C1CCCC(=O)N1Cc1cccc(-c2csc(C)n2)c1
CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3CCCC3C4=NC(=NO4)C5=CC(=CC=C5)Cl,-1.505149978319906,Cc1ccc(-n2nccn2)c(C(=O)N2CCCC2c2nc(-c3cccc(Cl)c3)no2)c1
C1CN(CC(C12N(CCO2)S(=O)(=O)C3=CC=CC=C3)(F)F)C(=O)NC4=CC=CC=C4,-3.0,O=C(Nc1ccccc1)N1CCC2(OCCN2S(=O)(=O)c2ccccc2)C(F)(F)C1
CC1C(N(CCO1)C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)CC4=CC(=CC=C4)N5N=CC=N5,-3.403120521175818,Cc1ccc(-n2nccn2)c(C(=O)N2CCOC(C)C2Cc2cccc(-n3nccn3)c2)c1
CC1=CC(=C(C=C1)C(=O)N2CCC2C3=NOC(=N3)C4=C(C(=CC=C4)Cl)C)N5N=CC=N5,-0.9542425094393248,Cc1ccc(C(=O)N2CCC2c2noc(-c3cccc(Cl)c3C)n2)c(-n2nccn2)c1
CCOC1=CC(=CC(=C1C2CC(C(=O)N2CC3=CC=C(C=C3)OC(F)(F)F)Cl)F)F,-1.7993405494535817,CCOc1cc(F)cc(F)c1C1CC(Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1
CC1=C(C=C(C=C1)C2=C(N=CO2)C(=O)NC3=CN(N=C3)CCN4C(=NC5=CC=CC=C54)C)OC,-3.57978359661681,COc1cc(-c2ocnc2C(=O)Nc2cnn(CCn3c(C)nc4ccccc43)c2)ccc1C
CC1CCC(CN1C(=O)C2=CN=C(C=C2N3N=CC=N3)Cl)OC4=NC=CC(=C4C)C#N,-1.5440680443502757,Cc1c(C#N)ccnc1OC1CCC(C)N(C(=O)c2cnc(Cl)cc2-n2nccn2)C1
CC1CCCN(C1CNC(=O)C2=C3C=COC3=CC=C2)C(=O)C4=C(SC(=N4)C)C5=CC=CC=C5,-0.9395192526186184,Cc1nc(C(=O)N2CCCC(C)C2CNC(=O)c2cccc3occc23)c(-c2ccccc2)s1
CC1=C(C(=CC=C1)N2N=CC=N2)C(=O)N3CCCC3C4=NC(=NN4)C5=CC=CC=C5OC(F)(F)F,-1.7242758696007892,Cc1cccc(-n2nccn2)c1C(=O)N1CCCC1c1nc(-c2ccccc2OC(F)(F)F)n[nH]1
CC1=C(C=C(C(=C1)N2N=CC=N2)C(=O)N3CCCC3C4=NN=C(O4)C5=C(C(=CC=C5)Cl)C)OC,-0.9542425094393248,COc1cc(C(=O)N2CCCC2c2nnc(-c3cccc(Cl)c3C)o2)c(-n2nccn2)cc1C
CC1CC(N(C1=O)CC2=CC=CC(=C2)C3=CSC(=N3)C)C4=C(C=CC=C4OC)OC,-1.380211241711606,COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(-c2csc(C)n2)c1
CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3CCCOC3CC4=CN(N=C4)C5=NC=C(C=C5)F,-0.5563025007672873,Cc1ccc(-n2nccn2)c(C(=O)N2CCCOC2Cc2cnn(-c3ccc(F)cn3)c2)c1
CC1=C(C=CC=C1Cl)C2=NOC(=N2)C3CCCN3C(=O)C4=NC=CN=C4C5=CC(=CC=C5)OC,-2.257678574869185,COc1cccc(-c2nccnc2C(=O)N2CCCC2c2nc(-c3cccc(Cl)c3C)no2)c1
COC1=C(C2=C(C=C1)N=CO2)C3CCCC(=O)N3CC4=NC5=CC=CC=C5C=C4,-3.256477206241677,COc1ccc2ncoc2c1C1CCCC(=O)N1Cc1ccc2ccccc2n1
CC1=CC(=C(C(=C1)OC)C2CCCC(=O)N2CC3=CC=C(C=C3)OC(F)(F)F)OC,-2.0293837776852097,COc1cc(C)cc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1
CN(C1CCCC1NC2=NC3=C(S2)C=C(C=C3)F)C(=O)C4=CC=CC=C4N5N=CC=N5,-2.812913356642856,CN(C(=O)c1ccccc1-n1nccn1)C1CCCC1Nc1nc2ccc(F)cc2s1
CC1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=CC=CC=C5C=N4,-1.4771212547196624,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3ncc4ccccc4n3)CCC2C)c1
COC1=CC=C(C=C1)CN2C(CCCC2=O)C3=C(C=CC=C3OC)OC,-2.598790506763115,COc1ccc(CN2C(=O)CCCC2c2c(OC)cccc2OC)cc1
COC1=C(C=CC=C1Cl)C2=NC(=NO2)C3CCCN3C(=O)C4=C(C=CC(=C4)Cl)N5N=CC=N5,-1.230448921378274,COc1c(Cl)cccc1-c1nc(C2CCCN2C(=O)c2cc(Cl)ccc2-n2nccn2)no1
CC1=CC=CC(=C1)C2=C(N=CO2)C(=O)NC3=CN(N=C3)CCCN4CCC5=C4C=C(C=C5)OC,-2.392696953259666,COc1ccc2c(c1)N(CCCn1cc(NC(=O)c3ncoc3-c3cccc(C)c3)cn1)CC2
CC1=CC=CC(=C1)C2=C(N=CO2)C(=O)NC3=CN(N=C3)CCC4=CN(C5=C4C=C(C=C5)OC)C,-1.3424226808222062,COc1ccc2c(c1)c(CCn1cc(NC(=O)c3ncoc3-c3cccc(C)c3)cn1)cn2C
CC1CCC(CN1C(=O)C2=C(N=C(C=C2)OC)C3=NC=CC=N3)OC4=NC=CC(=C4)C(=O)OC,-3.3240765797394864,COC(=O)c1ccnc(OC2CCC(C)N(C(=O)c3ccc(OC)nc3-c3ncccn3)C2)c1
CC1COC2=C(C=C(C=C2)C(F)(F)F)C(N1C(=O)C3=CC=C(C=C3)Cl)C,-2.431363764158988,CC1COc2ccc(C(F)(F)F)cc2C(C)N1C(=O)c1ccc(Cl)cc1
CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3CCCC3C4=CN=C(N4)C5=C(C(=CC=C5)Cl)C,-2.833147111912785,Cc1ccc(-n2nccn2)c(C(=O)N2CCCC2c2cnc(-c3cccc(Cl)c3C)[nH]2)c1
CC1=CC(=C(C=C1)S(=O)(=O)N2CCCC2C(=O)NC3=CC(=CC(=C3)C)C)OC,-2.225309281725863,COc1cc(C)ccc1S(=O)(=O)N1CCCC1C(=O)Nc1cc(C)cc(C)c1
COC1=C(C(=CC=C1)OC)C2CCCC(=O)N2CC3=CC4=C(C=C3)SC=C4,-2.146128035678238,COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2sccc2c1
CC1=CC=CC(=C1)C2=C(N=CO2)C(=O)NC3=C(N(N=C3C)CCN4C=CC5=CN=C(C=C54)OC)C,-2.315970345456918,COc1cc2c(ccn2CCn2nc(C)c(NC(=O)c3ncoc3-c3cccc(C)c3)c2C)cn1
CC1=C(C=CC=C1Cl)C2=NOC(=N2)C3CCCN3C(=O)C4=C(C=CC(=C4)Cl)N5N=CC=N5,-1.146128035678238,Cc1c(Cl)cccc1-c1noc(C2CCCN2C(=O)c2cc(Cl)ccc2-n2nccn2)n1
C1CCC(=O)N(C(C1)C2=CC=CC=C2C3=CN=CC=C3)CC4=CC=CC(=C4)C5=NC=CS5,-1.968482948553935,O=C1CCCCC(c2ccccc2-c2cccnc2)N1Cc1cccc(-c2nccs2)c1
CC1=CC(=C(C=C1)C)C2=NOC(=N2)C3CCN3C(=O)C4=C(C=CC(=C4)C)N5N=CC=N5,-1.230448921378274,Cc1ccc(-n2nccn2)c(C(=O)N2CCC2c2nc(-c3cc(C)ccc3C)no2)c1
CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3CCCC3C4=NC(=NO4)C5=C(C=CC(=C5F)OC)F,-2.2121876044039577,COc1ccc(F)c(-c2noc(C3CCCN3C(=O)c3cc(C)ccc3-n3nccn3)n2)c1F
CC1=CC(=C(C=C1)C2=NC=CC=N2)C(=O)N3CCOC3CN4C=C(C=N4)C5=CC=C(C=C5)F,-1.4265112613645752,Cc1ccc(-c2ncccn2)c(C(=O)N2CCOC2Cn2cc(-c3ccc(F)cc3)cn2)c1
CC1CCN(CCN1C(=O)C2=CC=CC=C2N3N=CC=N3)C4=NC=C(C(=N4)C)C(F)(F)F,-1.4313637641589874,Cc1nc(N2CCC(C)N(C(=O)c3ccccc3-n3nccn3)CC2)ncc1C(F)(F)F
COC1=C(C(=CC=C1)OC)C2CCCCC(=O)N2CC3=CC=CC(=C3)C4=CSC=N4,-1.2787536009528289,COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(-c2cscn2)c1
CC1=CC(=C(C=C1)C2=CC=CC=C2)C(=O)N3CCC3C4=NC(=NN4)C5=CC=CC=C5OC(F)(F)F,-1.591064607026499,Cc1ccc(-c2ccccc2)c(C(=O)N2CCC2c2nc(-c3ccccc3OC(F)(F)F)n[nH]2)c1
CC1CCC(CN1C(=O)C2=CC=CC=C2CS(=O)(=O)C)C3=CSC(=N3)C(C)(C)O,-1.6020599913279625,CC1CCC(c2csc(C(C)(C)O)n2)CN1C(=O)c1ccccc1CS(C)(=O)=O
CC1CN(C(CO1)CC2=C(C=CC(=C2)C3=NC=CC=N3)F)C(=O)C4=C(C(=C(C=C4)C)C)N5N=CC=N5,-2.912753303671323,Cc1ccc(C(=O)N2CC(C)OCC2Cc2cc(-c3ncccn3)ccc2F)c(-n2nccn2)c1C
COC1=C(C(=CC=C1)OC)C2N(C(=O)CS2)CC3=CC=C(C=C3)OC(F)(F)F,-1.2041199826559248,COc1cccc(OC)c1C1SCC(=O)N1Cc1ccc(OC(F)(F)F)cc1
CC1=CC=CC(=C1N2N=CC=N2)C(=O)N3CCOCC3CC4=C(C=CC(=C4)N5N=CC=N5)F,-3.1760912590556813,Cc1cccc(C(=O)N2CCOCC2Cc2cc(-n3nccn3)ccc2F)c1-n1nccn1
C1CC(N(C1)C(=O)C2=C(N=CC=C2)C3=CC=CC=N3)C4=NC(=NO4)C5=CC=CC=C5OC(F)(F)F,-2.0273496077747564,O=C(c1cccnc1-c1ccccn1)N1CCCC1c1nc(-c2ccccc2OC(F)(F)F)no1
CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3CCCCC3CC4=CC(=CC=C4)N5N=CC=N5,-0.3010299956639812,Cc1ccc(-n2nccn2)c(C(=O)N2CCCCC2Cc2cccc(-n3nccn3)c2)c1
CC1COC2=C(C=C(C=C2)OC(F)F)C(N1C(=O)C3=CC=C(C=C3)Cl)C,-1.4313637641589874,CC1COc2ccc(OC(F)F)cc2C(C)N1C(=O)c1ccc(Cl)cc1
CC1C(N(CCO1)C(=O)C2=C(C=C(C=C2)C)N3N=CC=N3)CC4=CC(=CC=C4)N5N=CC=N5,-3.5446880223026773,Cc1ccc(C(=O)N2CCOC(C)C2Cc2cccc(-n3nccn3)c2)c(-n2nccn2)c1
CC1CCC(CN1C(=O)C2=CC=CC=C2C3CC3)OC4=NC=CC(=C4C)C#N,-0.9542425094393248,Cc1c(C#N)ccnc1OC1CCC(C)N(C(=O)c2ccccc2C2CC2)C1
CC(C)C1=NC(=C2N1CCN(C2CCC3=CC=C(C=C3)C(F)(F)F)C(C4=CC=CC=C4)C(=O)NC)Cl,-1.041392685158225,CNC(=O)C(c1ccccc1)N1CCn2c(C(C)C)nc(Cl)c2C1CCc1ccc(C(F)(F)F)cc1
CCOC1=C(C(=CC=C1)F)C2CC(C(=O)N2CC3=CC(=C(C=C3)OC(F)(F)F)Cl)Cl,-1.3424226808222062,CCOc1cccc(F)c1C1CC(Cl)C(=O)N1Cc1ccc(OC(F)(F)F)c(Cl)c1
COC1=CC=C(C=C1)C2=C(N=CO2)C(=O)NC3=CN(N=C3)CCNC4=NC(=CC(=N4)OC)OC,-2.0,COc1ccc(-c2ocnc2C(=O)Nc2cnn(CCNc3nc(OC)cc(OC)n3)c2)cc1
CC1CCC(CN1C(=O)C2=C(C=CC=N2)C3=CSC=N3)OC4=NC=CC(=C4C)C#N,-1.380211241711606,Cc1c(C#N)ccnc1OC1CCC(C)N(C(=O)c2ncccc2-c2cscn2)C1
CC1=CC(=C(C=C1)C(=O)N2CCCC2C3=NC(=NO3)C4=CC=CC=C4C(F)(F)F)N5N=CC=N5,-2.1003705451175634,Cc1ccc(C(=O)N2CCCC2c2nc(-c3ccccc3C(F)(F)F)no2)c(-n2nccn2)c1
CC1=CC(=C(C=C1)C)C2=NC(=NO2)C3CCCN3C(=O)C4=CC(=C(C=C4N5N=CC=N5)C)OC,-0.0,COc1cc(C(=O)N2CCCC2c2noc(-c3cc(C)ccc3C)n2)c(-n2nccn2)cc1C
C1COCC(N1C(=O)C2=CC=CC=C2N3N=CC=N3)CC4=CC(=C(C=C4)Cl)C5=NOC=N5,-2.6766936096248664,O=C(c1ccccc1-n1nccn1)N1CCOCC1Cc1ccc(Cl)c(-c2ncon2)c1
CC1=NC(=C(S1)C2=CC=CC=C2)C(=O)N3CCCC(C3CNC(=O)C4=CC=CC5=C4N=CC=C5)C(F)(F)F,-1.6020599913279625,Cc1nc(C(=O)N2CCCC(C(F)(F)F)C2CNC(=O)c2cccc3cccnc23)c(-c2ccccc2)s1
C1CC(N(C1)S(=O)(=O)C2=CC=C(S2)Br)C(=O)NC3=CC=CC=C3,-2.214843848047698,O=C(Nc1ccccc1)C1CCCN1S(=O)(=O)c1ccc(Br)s1
CC(C)CNC(=O)CN(CCOC1=CC(=C(C=C1)OC)OC)CC2=CC=C(C=C2)F,-2.749998976558349,COc1ccc(OCCN(CC(=O)NCC(C)C)Cc2ccc(F)cc2)cc1OC
CCOC1=C(C=CC=N1)C2=NNC(=N2)C3CCCN3C(=O)C4=CC(=C(C=C4N5N=CC=N5)C)Cl,-0.9030899869919436,CCOc1ncccc1-c1n[nH]c(C2CCCN2C(=O)c2cc(Cl)c(C)cc2-n2nccn2)n1
CCCOC1=CC=CC=C1C2=NOC(=N2)C3CCN3C(=O)C4=C(C=CC(=C4)C)N5N=CC=N5,-2.060697840353612,CCCOc1ccccc1-c1noc(C2CCN2C(=O)c2cc(C)ccc2-n2nccn2)n1
CCOC1=CC=C(C=C1)CN2C(CCCC2=O)C3=C(C=CC=C3OC)OC,-1.8129133566428557,CCOc1ccc(CN2C(=O)CCCC2c2c(OC)cccc2OC)cc1
CC1CCC(CN1C(=O)C2=C(C=NC=C2)C3=CC=CC=C3)OC4=NC=CC(=C4C)C#N,-1.8388490907372552,Cc1c(C#N)ccnc1OC1CCC(C)N(C(=O)c2ccncc2-c2ccccc2)C1
CC1=C(C(=NN1C2=CC=CC=C2)C)P(=S)(C3=NC=CN3C=C)C4=NC=CN4C=C,-2.230448921378274,C=Cn1ccnc1P(=S)(c1c(C)nn(-c2ccccc2)c1C)c1nccn1C=C
COC1=C(C=C(C=C1)OCCN(CC2=CC=C(C=C2)F)CC(=O)NCC3=CC=CC=C3)OC,-1.290034611362518,COc1ccc(OCCN(CC(=O)NCc2ccccc2)Cc2ccc(F)cc2)cc1OC
C1CC(N(C1)C(=O)C2=C(C(=CC=C2)F)N3C=CC=N3)C4=NC(=NO4)C5=CC=CC=C5OC(F)(F)F,-2.2329961103921536,O=C(c1cccc(F)c1-n1cccn1)N1CCCC1c1nc(-c2ccccc2OC(F)(F)F)no1
