smiles,value,cano_smiles
CC(C)CCN1C=C2C(=N1)N=C(N3C2=NC(=N3)C4=CC=CO4)NC(=O)NC5=CC=C(C=C5)OC,-1.4771212547196624,COc1ccc(NC(=O)Nc2nc3nn(CCC(C)C)cc3c3nc(-c4ccco4)nn23)cc1
CC(CC1=CC=CC=C1)NC2=NC3=C(C(=N2)N)N=CN3C4C(C(C(O4)CO)O)O,-3.0877814178095417,CC(Cc1ccccc1)Nc1nc(N)c2ncn(C3OC(CO)C(O)C3O)c2n1
CCCOC(=O)C1=C(N=C(C(=C1C)C(=O)OCC)C2=CC=CC=C2)C,-2.322219294733919,CCCOC(=O)c1c(C)nc(-c2ccccc2)c(C(=O)OCC)c1C
CCN1C(=O)C2=C(N=C(N2)C3=CC=CC=C3)N(C1=O)CCSCC,-2.6099997038422305,CCSCCn1c(=O)n(CC)c(=O)c2[nH]c(-c3ccccc3)nc21
C1=CC=C(C=C1)C#CC2=NC3=C(C(=N2)N)N=CN3C4C(C(C(O4)CO)O)O,-1.2041199826559248,Nc1nc(C#Cc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O
CCOC1=CC(=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)OCC)OCC)OCC)OCC,-3.8615344108590377,CCOc1ccc(-c2oc3cc(OCC)cc(OCC)c3c(=O)c2OCC)c(OCC)c1
C1CC1NC(=O)C2C(C(C(O2)N3C=NC4=C3N=C(N=C4NCC5=CC(=CC=C5)I)Cl)O)O,-0.469822015978163,O=C(NC1CC1)C1OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O
CCC1=C(C(=[N+](C(=C1C(=O)SCC)CC)C)C2=CC=CC=C2)C(=O)OCC.[I-],-2.3404441148401185,CCOC(=O)c1c(CC)c(C(=O)SCC)c(CC)[n+](C)c1-c1ccccc1.[I-]
CCCN1C=C2C(=N1)N=C(N3C2=NC(=N3)C4=CC=CO4)NC(=O)CC5=CC=CC=C5,-0.0043213737826425,CCCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1
COC1=CC=C(C=C1)CC(=O)NC2=NC(=NC3=NC(=NN32)C4=CC=CO4)SC,-3.322219294733919,COc1ccc(CC(=O)Nc2nc(SC)nc3nc(-c4ccco4)nn23)cc1
CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CN(N=C3)CC4=NOC(=N4)C5=CC=C(C=C5)C(F)(F)F,-3.113943352306837,CCCn1c(=O)c2[nH]c(-c3cnn(Cc4noc(-c5ccc(C(F)(F)F)cc5)n4)c3)nc2n(CCC)c1=O
CCNC(=O)C1C(C(C(O1)N2C=NC3=C2N=C(N=C3N)NCCN4CCN(CC4)C5=CC=C(C=C5)C(=O)O)O)O,-3.765891976430016,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCN4CCN(c5ccc(C(=O)O)cc5)CC4)nc32)C(O)C1O
CC1=CC=C(O1)C2=NC3=CN(N=C3C(=N2)N)CC4=CC(=CC=C4)F,-2.630427875025024,Cc1ccc(-c2nc(N)c3nn(Cc4cccc(F)c4)cc3n2)o1
CCCN1C(=O)C2=C(NC1=O)N=C(N2)C3=CC=C(C=C3)Br,-2.2380461031287955,CCCn1c(=O)[nH]c2nc(-c3ccc(Br)cc3)[nH]c2c1=O
CNC1=NC(=NC2=C1N=CN2C3C4CC4(C(C3O)O)C(=O)NC)C#CC5=CC=CC6=CC=CC=C65,-0.2265999052073574,CNC(=O)C12CC1C(n1cnc3c(NC)nc(C#Cc4cccc5ccccc45)nc31)C(O)C2O
CCNC1=C2C(=NN1C)N=C(N3C2=NC(=N3)C4=CC=CO4)NC(=O)NC5=CC=C(C=C5)OC,-1.146128035678238,CCNc1c2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)nn1C
CCC(=O)NC1=NC(=NC(=C1)C2=CC=CO2)C3=CC=CO3,-0.7923916894982539,CCC(=O)Nc1cc(-c2ccco2)nc(-c2ccco2)n1
CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,-3.0962145853464054,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1
COC1=CC2=C(C=C1)OC(C(C2=O)O)C#CC3=CC=CC=C3,-3.909983694939844,COc1ccc2c(c1)C(=O)C(O)C(C#Cc1ccccc1)O2
CN1C=C2C(=N1)N=C(N3C2=NC(=N3)C4=CC=CO4)NC(=O)NC5=CC=C(C=C5)CC(=O)NCCC[NH3+],-0.9063350418050908,Cn1cc2c(nc(NC(=O)Nc3ccc(CC(=O)NCCC[NH3+])cc3)n3nc(-c4ccco4)nc23)n1
C1CCC(CC1)NC2=NC(=NC3=C2NC=N3)NC4=CC5=CC=CC=C5C=C4,-3.383815365980431,c1ccc2cc(Nc3nc(NC4CCCCC4)c4[nH]cnc4n3)ccc2c1
CNC1=NC2=NC(=NN2C(=N1)NC(=O)NC3=CC=CC=C3)C4=CC=CO4,-2.7573960287930244,CNc1nc(NC(=O)Nc2ccccc2)n2nc(-c3ccco3)nc2n1
COC1=CC=C(C=C1)N2C(=O)N3C4=C(C(=CC=C4)N)N=C(C3=N2)NC(=O)C5=CC=CC=C5,-0.0,COc1ccc(-n2nc3c(NC(=O)c4ccccc4)nc4c(N)cccc4n3c2=O)cc1
C1=CC=C(C=C1)CN2C3=C(C(=NC(=N3)C4=CC=CC=C4)NC(=O)C5=CC=CO5)N=N2,-3.4838724542226736,O=C(Nc1nc(-c2ccccc2)nc2c1nnn2Cc1ccccc1)c1ccco1
COC1=CC(=C(C=C1)O)CNC2=NC(=NC3=C2N=CN3C4C5CC5C(C4O)O)Cl,-0.608526033577194,COc1ccc(O)c(CNc2nc(Cl)nc3c2ncn3C2C(O)C(O)C3CC32)c1
CNC(=O)C12CC1C(C(C2O)O)N3C=NC4=C3N=C(N=C4NCC5=CC(=CC=C5)Cl)C#CCCCCC(=O)O,-1.0934216851622351,CNC(=O)C12CC1C(n1cnc3c(NCc4cccc(Cl)c4)nc(C#CCCCCC(=O)O)nc31)C(O)C2O
C1=CC=C(C(=C1)CCOC2=NC3=C(C(=N2)N)N=CN3C4C(C(C(O4)CO)O)O)F,-1.890979596989689,Nc1nc(OCCc2ccccc2F)nc2c1ncn2C1OC(CO)C(O)C1O
C1CC1C(=O)NC2=NC(=C(C=C2)C3=NC=NC=C3)C4=CC=CO4,-3.574494268285328,O=C(Nc1ccc(-c2ccncn2)c(-c2ccco2)n1)C1CC1
COC1=CC=C(C=C1)N2C(=O)N3C4=CC=CC=C4N=C(C3=N2)NC(=O)C5=CC=CC=C5,-0.4623979978989561,COc1ccc(-n2nc3c(NC(=O)c4ccccc4)nc4ccccc4n3c2=O)cc1
C1CCC(C1)NC2=NC3=CC=CC=C3C4=CN(N=C42)C5=CC=CC=C5,-1.7817553746524688,c1ccc(-n2cc3c(n2)c(NC2CCCC2)nc2ccccc23)cc1
CCC(=O)NC1=NNC(=N1)C2=CC=CC=C2,-2.4771212547196626,CCC(=O)Nc1n[nH]c(-c2ccccc2)n1
C1CN(CCN1C2=CC=C(C=C2)F)C(=O)C3C(C(C(S3)N4C=NC5=C4N=C(N=C5NCC6=CC(=CC=C6)I)Cl)O)O,-3.1583624920952498,O=C(C1SC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O)N1CCN(c2ccc(F)cc2)CC1
